Change Component Comment: Designator=LED4 Old Comment= New Comment=Ready
Change Component Comment: Designator=U2 Old Comment=AMS1117-3.3 New Comment=AMS1117-3.3b
Change Component Comment: Designator=C2 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C6 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C30 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C31 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C32 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C36 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C37 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C43 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C47 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C49 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C50 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C52 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C68 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C69 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C70 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C71 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C72 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C73 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C78 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C80 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C85 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C87 Old Comment=Cap New Comment=Capb
Change Component Comment: Designator=C5 Old Comment=Cap Pol3 New Comment=Cap Pol3b
Change Component Comment: Designator=C7 Old Comment=Cap Pol3 New Comment=Cap Pol3b
Change Component Comment: Designator=R35 Old Comment=Res2 New Comment=Res2b
