Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~WL1800-E-D001-PrinterC Rev.2.0.PrjPCB|ReportField=ProjectFullPath~G:\program\printer_tag_device\hardware\printer_tag_control\WL1800-E-D001-PrinterC Rev.2.0.PrjPCB|ReportField=Title~Bill of Materials For Project [WL1800-E-D001-PrinterC Rev.2.0.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~232|ReportField=ReportTime~15:07:15|ReportField=ReportDate~2017/4/10|ReportField=ReportDateTime~2017/4/10 15:07:15|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2017/4/10|ReportField=CurrentTime~15:07:01|ReportField=Date~|ReportField=DocumentFullPathAndName~G:\program\printer_tag_device\hardware\printer_tag_control\WL1800-E-D001-PrinterC Rev.2.0.SchDoc|ReportField=DocumentName~WL1800-E-D001-PrinterC Rev.2.0.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2017/4/10|ReportField=Organization~|ReportField=ProjectName~WL1800-E-D001-PrinterC Rev.2.0.PrjPCB|ReportField=Revision~V1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~WL1800-E-D001-PrinterC Rev.2.0.PrjPCB|ReportField=DataSourceFullPath~G:\program\printer_tag_device\hardware\printer_tag_control\WL1800-E-D001-PrinterC Rev.2.0.PrjPCB
C_2200uF||C1|C7.8*17|C_2200uF|1|2200uF
Capb|Capacitor|C2, C6, C30, C31, C32, C36, C37, C43, C44, C47, C49, C50, C52, C68, C69, C70, C71, C72, C73, C78, C80, C85, C87|0805|Cap|23|104
C_2200uF||C3|C5*10|C_2200uF|1|470uF
Cap|Capacitor|C4, C9, C10, C11, C20, C33, C34, C35, C38, C39, C40, C41, C42, C45, C46, C48, C51, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C74, C75, C76, C77, C79, C81, C82, C83, C84, C86|0805|Cap|42|104
Cap Pol3b|Polarized Capacitor (Surface Mount)|C5, C7|CAP A-3216|Cap Pol3|2|10uF/16V(106C)
Cap Pol3|Polarized Capacitor (Surface Mount)|C8, C22|CAP A-3216|Cap Pol3|2|10uF/16V(106C)
Cap|Capacitor|C12, C13|0805|Cap|2|20pF
HEADER1X4||CH1, CH4, CH5, CH11|CH3.96-4PIN|HEADER1X4|4|
HEADER1X6||CH3, CH12, CH18|CH3.96-6PIN|HEADER1X6|3|
HEADER1X3||CH6, CH7, CH8, CH14, CH15, CH16, CH17|CH3.96-3PIN|HEADER1X3|7|
HEADER1X2||CH9, CH10, CH13|CH3.96-2PIN|HEADER1X2|3|
1N5822(SS34)b|High Conductance Fast Diode|D3, D4|SMA|Diode 1N4148|2|
X30_UF500|Fuse|F1|X30UF600|Fuse 1|1|
4 HEADER|4 Pin Header|JP1|CON4_1.5|4 HEADER|1|
|Typical RED, GREEN, YELLOW, AMBER GaAs LED|LED1, LED2|LED-0805|LED2|2|
Ready|Typical RED, GREEN, YELLOW, AMBER GaAs LED|LED4|LED-0805|LED2|1|
Pad||Pad1, Pad2, Pad3, Pad4|pad35|Pad|4|
FR5305 (PMOS-2)b|P-Channel Power MOSFET|Q1|TO-252|PMOS-2|1|
FR4105 (NMOS-2)b|N-Channel Power MOSFET|Q2|TO-252|NMOS-2|1|
